>> lunar_lander(20)
Time	Height		Thrust
1		100.000000	-70.459839
2		29.540161	28.343042
3		-5.530653	18.417946
4		-18.676440	10.440693
5		-20.066955	4.958380
6		-16.360039	1.662964
7		-11.360851	-0.037242
8		-6.898824	-0.723727
9		-3.606726	-0.849944
10		-1.493782	-0.720455
11		-0.312588	-0.514131
12		0.236356	-0.320399
13		0.410007	-0.173103
14		0.393190	-0.076159
15		0.301896	-0.020408
16		0.199323	0.006741
17		0.113748	0.016648
18		0.053379	0.017818
19		0.016865	0.015838
20		-0.000160	0.013929
>> lunar_lander(40)
Time	Height		Thrust
1		100.000000	-70.459834
2		29.540166	28.343037
3		-5.530648	18.417942
4		-18.676440	10.440688
5		-20.066963	4.958374
6		-16.360061	1.662957
7		-11.360892	-0.037248
8		-6.898887	-0.723728
9		-3.606811	-0.849932
10		-1.493875	-0.720418
11		-0.312650	-0.514051
12		0.236401	-0.320257
13		0.410290	-0.172882
14		0.393908	-0.075861
15		0.303303	-0.020074
16		0.201686	0.006988
17		0.117217	0.016552
18		0.057747	0.016932
19		0.021156	0.013480
20		0.001704	0.009199
21		-0.006604	0.005491
22		-0.008590	0.002806
23		-0.007571	0.001112
24		-0.005542	0.000183
25		-0.003533	-0.000235
26		-0.001960	-0.000356
27		-0.000900	-0.000329
28		-0.000275	-0.000248
29		0.000039	-0.000162
30		0.000159	-0.000093
31		0.000174	-0.000044
32		0.000143	-0.000015
33		0.000100	-0.000000
34		0.000061	0.000006
35		0.000033	0.000008
36		0.000014	0.000007
37		0.000004	0.000005
38		0.000000	0.000003
39		-0.000001	0.000001
40		-0.000000	-0.000000
>> lunar_lander(60)
Time	Height		Thrust
1		100.000000	-70.459834
2		29.540166	28.343037
3		-5.530648	18.417942
4		-18.676440	10.440688
5		-20.066963	4.958374
6		-16.360061	1.662957
7		-11.360892	-0.037248
8		-6.898887	-0.723728
9		-3.606811	-0.849932
10		-1.493875	-0.720418
11		-0.312650	-0.514051
12		0.236401	-0.320257
13		0.410290	-0.172882
14		0.393908	-0.075861
15		0.303303	-0.020074
16		0.201686	0.006988
17		0.117217	0.016552
18		0.057747	0.016932
19		0.021156	0.013480
20		0.001704	0.009199
21		-0.006604	0.005491
22		-0.008590	0.002806
23		-0.007571	0.001112
24		-0.005542	0.000183
25		-0.003533	-0.000235
26		-0.001960	-0.000356
27		-0.000900	-0.000329
28		-0.000275	-0.000248
29		0.000039	-0.000162
30		0.000159	-0.000093
31		0.000174	-0.000044
32		0.000143	-0.000015
33		0.000100	-0.000000
34		0.000061	0.000006
35		0.000032	0.000007
36		0.000014	0.000006
37		0.000003	0.000005
38		-0.000002	0.000003
39		-0.000004	0.000002
40		-0.000003	0.000001
41		-0.000003	0.000000
42		-0.000002	-0.000000
43		-0.000001	-0.000000
44		-0.000001	-0.000000
45		-0.000000	-0.000000
46		-0.000000	-0.000000
47		0.000000	-0.000000
48		0.000000	-0.000000
49		0.000000	-0.000000
50		0.000000	-0.000000
51		0.000000	0.000000
52		0.000000	0.000000
53		0.000000	0.000000
54		0.000000	0.000000
55		-0.000000	0.000000
56		-0.000000	0.000000
57		-0.000000	0.000000
58		-0.000000	0.000000
59		-0.000000	-0.000000
60		-0.000000	-0.000000
>> lunar_lander(20,9.81)
Time	Height		Thrust
1		100.000000	-70.459839
2		19.730161	35.255152
3		-27.067543	28.770503
4		-50.224974	22.082855
5		-58.793806	16.736979
6		-59.578776	13.078017
7		-57.017232	10.887657
8		-53.634185	9.763934
9		-50.635509	9.315230
10		-48.431471	9.236888
11		-47.020949	9.324069
12		-46.237410	9.459033
13		-45.883192	9.600106
14		-45.774289	9.791107
15		-45.695169	10.193066
16		-45.240896	11.101890
17		-43.540160	12.858210
18		-38.961287	15.442943
19		-29.207359	16.639079
20		-13.599745	-12.769867
>> lunar_lander(40,9.81)
Time	Height		Thrust
1		100.000000	-70.459834
2		19.730166	35.255147
3		-27.067539	28.770498
4		-50.224974	22.082847
5		-58.793820	16.736943
6		-59.578837	13.077879
7		-57.017474	10.887256
8		-53.634992	9.763053
9		-50.637705	9.313896
10		-48.436250	9.236131
11		-47.028810	9.326620
12		-46.245494	9.466552
13		-45.883958	9.596869
14		-45.771707	9.695497
15		-45.785184	9.760172
16		-45.847142	9.797202
17		-45.915701	9.815053
18		-45.972352	9.821267
19		-46.012070	9.821405
20		-46.036412	9.819032
21		-46.049287	9.816139
22		-46.054736	9.813649
23		-46.055991	9.811852
24		-46.055268	9.810725
25		-46.053893	9.810133
26		-46.052522	9.809954
27		-46.051334	9.810137
28		-46.050128	9.810642
29		-46.048400	9.811171
30		-46.045674	9.810704
31		-46.042517	9.807540
32		-46.042135	9.802763
33		-46.049028	9.813764
34		-46.051468	9.906419
35		-45.957245	10.243951
36		-45.438492	11.115796
37		-43.665819	12.853813
38		-39.026601	15.430883
39		-29.230422	16.623751
40		-13.600110	-12.788437
>> lunar_lander(60,9.81)
Time	Height		Thrust
1		100.000000	-70.459834
2		19.730166	35.255147
3		-27.067539	28.770498
4		-50.224974	22.082847
5		-58.793820	16.736943
6		-59.578837	13.077879
7		-57.017474	10.887256
8		-53.634992	9.763053
9		-50.637705	9.313896
10		-48.436250	9.236131
11		-47.028810	9.326620
12		-46.245494	9.466552
13		-45.883958	9.596869
14		-45.771707	9.695497
15		-45.785184	9.760172
16		-45.847142	9.797202
17		-45.915701	9.815053
18		-45.972352	9.821267
19		-46.012070	9.821405
20		-46.036412	9.819032
21		-46.049288	9.816138
22		-46.054738	9.813649
23		-46.055995	9.811855
24		-46.055270	9.810727
25		-46.053891	9.810111
26		-46.052538	9.809836
27		-46.051485	9.809759
28		-46.050778	9.809779
29		-46.050363	9.809834
30		-46.050155	9.809892
31		-46.050077	9.809938
32		-46.050068	9.809971
33		-46.050090	9.809990
34		-46.050119	9.810000
35		-46.050145	9.810004
36		-46.050164	9.810005
37		-46.050177	9.810004
38		-46.050184	9.810003
39		-46.050187	9.810002
40		-46.050187	9.810002
41		-46.050186	9.810001
42		-46.050185	9.810000
43		-46.050183	9.809997
44		-46.050185	9.809998
45		-46.050188	9.810021
46		-46.050169	9.810118
47		-46.050035	9.810379
48		-46.049535	9.810863
49		-46.048223	9.811338
50		-46.045704	9.810813
51		-46.042625	9.807602
52		-46.042252	9.802792
53		-46.049124	9.813774
54		-46.051535	9.906419
55		-45.957285	10.243947
56		-45.438514	11.115791
57		-43.665829	12.853808
58		-39.026604	15.430879
59		-29.230422	16.623749
60		-13.600110	-12.788437
